Geographic code,Geographic name,CD type,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
3520,Toronto,Census division (CDR),Ontario,F,2731571,2615060,F,4.5,1179057,1112929,630.2,4334.4,1,1
5915,Greater Vancouver,Regional district (RD),British Columbia,F,2463431,2313328,F,6.5,1027613,960894,2882.68,854.6,2,1
2466,Montr�al,Territoire �quivalent (T�),Quebec,F,1942044,1886481,F,2.9,939112,870373,499.26,3889.8,3,1
4806,Division No.  6,Census division (CDR),Alberta,F,1498778,1311022,F,14.3,586269,558912,12655.32,118.4,4,1
3521,Peel,Regional municipality (RM),Ontario,F,1381739,1296809,T,6.5,443918,430180,1246.95,1108.1,5,2
4811,Division No. 11,Census division (CDR),Alberta,F,1366050,1203115,F,13.5,557547,518951,15783.77,86.5,6,2
3519,York,Regional municipality (RM),Ontario,F,1109909,1032524,F,7.5,369928,357084,1762.13,629.9,7,3
3506,Ottawa,Census division (CDR),Ontario,F,934243,883391,F,5.8,395985,373756,2790.3,334.8,8,4
4611,Division No. 11,Census division (CDR),Manitoba,F,708823,666832,F,6.3,295343,282116,571.6,1240.1,9,1
3518,Durham,Regional municipality (RM),Ontario,F,645862,608124,F,6.2,233936,227906,2523.8,255.9,10,5
2423,Qu�bec,Territoire �quivalent (T�),Quebec,F,569717,551856,T,3.2,282180,267144,548.72,1038.3,11,2
3524,Halton,Regional municipality (RM),Ontario,F,548435,501674,T,9.3,198164,192977,964.05,568.9,12,6
3525,Hamilton,Census division (CDR),Ontario,F,536917,519949,F,3.3,222918,211596,1117.29,480.6,13,7
3530,Waterloo,Regional municipality (RM),Ontario,F,535154,507096,F,5.5,214299,203832,1368.92,390.9,14,8
3543,Simcoe,County (CTY),Ontario,F,479650,446063,F,7.5,206549,183536,4859.64,98.7,15,9
3539,Middlesex,County (CTY),Ontario,T,455526,439151,F,3.7,203349,190045,3317.27,137.3,16,10
3526,Niagara,Regional municipality (RM),Ontario,F,447888,431346,F,3.8,196241,183828,1854.23,241.5,17,11
2465,Laval,Territoire �quivalent (T�),Quebec,F,422993,401553,F,5.3,165686,160328,247.23,1710.9,18,3
2458,Longueuil,Territoire �quivalent (T�),Quebec,F,415347,399097,F,4.1,183008,175735,282.21,1471.8,19,4
1209,Halifax,County (CTY),Nova Scotia,F,403390,390328,F,3.3,187478,173459,5496.31,73.4,20,1
3537,Essex,County (CTY),Ontario,F,398953,388782,F,2.6,168569,159053,1850.9,215.5,21,12
5917,Capital,Regional district (RD),British Columbia,T,383360,359991,F,6.5,183562,170157,2340.49,163.8,22,2
4711,Division No. 11,Census division (CDR),Saskatchewan,F,303423,271170,F,11.9,129632,119128,16692.08,18.2,23,1
5909,Fraser Valley,Regional district (RD),British Columbia,F,295934,277593,F,6.6,116080,108393,13335.28,22.2,24,3
2481,Gatineau,Territoire �quivalent (T�),Quebec,F,276245,265349,F,4.1,125608,118385,342.8,805.8,25,5
1001,Division No.  1,Census division (CDR),Newfoundland and Labrador,F,270348,262410,F,3,131336,112620,9220.61,29.3,26,1
4706,Division No.  6,Census division (CDR),Saskatchewan,F,262837,237746,F,10.6,116531,105686,17548.18,15,27,2
3523,Wellington,County (CTY),Ontario,F,222726,208360,F,6.9,90846,85281,2660.57,83.7,28,13
4808,Division No.  8,Census division (CDR),Alberta,F,209395,189243,F,10.6,88994,80649,9939.43,21.1,29,3
5935,Central Okanagan,Regional district (RD),British Columbia,F,194882,179839,F,8.4,88374,81383,2904.86,67.1,30,4
2467,Roussillon,Municipalit� r�gionale de comt� (MRC),Quebec,T,171443,162187,F,5.7,67868,66264,423.82,404.5,31,6
4802,Division No.  2,Census division (CDR),Alberta,F,169729,156536,F,8.4,66991,62823,17673.32,9.6,32,4
2494,Le Saguenay-et-son-Fjord,Census division (CDR),Quebec,F,167549,165211,F,1.4,81769,75351,41361.06,4.1,33,7
3553,Greater Sudbury,Census division (CDR),Ontario,F,161647,160376,F,0.8,75103,69200,3239.02,49.9,34,14
2443,Sherbrooke,Territoire �quivalent (T�),Quebec,F,161323,154601,F,4.3,80341,73506,353.76,456,35,8
2464,Les Moulins,Municipalit� r�gionale de comt� (MRC),Quebec,F,158267,148813,F,6.4,60944,59701,261.13,606.1,36,9
2473,Th�r�se-De Blainville,Municipalit� r�gionale de comt� (MRC),Quebec,F,157103,154144,F,1.9,62218,60762,207.2,758.2,37,10
5921,Nanaimo,Regional district (RD),British Columbia,F,155698,146574,F,6.2,73622,68904,2038.04,76.4,38,5
2437,Francheville,Census division (CDR),Quebec,F,153030,149203,F,2.6,76859,71357,1162.21,131.7,39,11
3510,Frontenac,County (CTY),Ontario,F,150475,149753,T,0.5,77155,64295,3787.76,39.7,40,15
1307,Westmorland,County (CT),New Brunswick,F,149623,144158,F,3.8,71839,64038,3666.15,40.8,41,1
2471,Vaudreuil-Soulanges,Municipalit� r�gionale de comt� (MRC),Quebec,F,149349,139353,F,7.2,59474,57515,855.56,174.6,42,12
3558,Thunder Bay,District (DIS),Ontario,F,146048,146057,F,0,72551,62999,103722.82,1.4,43,16
2425,L�vis,Territoire �quivalent (T�),Quebec,F,143414,138769,F,3.3,62585,60779,449.05,319.4,44,13
3515,Peterborough,County (CTY),Ontario,F,138236,134928,T,2.5,70551,57743,3848.2,35.9,45,17
3512,Hastings,County (CTY),Ontario,F,136445,134934,F,1.1,65136,57017,6103.92,22.4,46,18
3529,Brant,Census division (CDR),Ontario,T,134808,136035,F,-0.9,54626,52722,1093.22,123.3,47,19
5933,Thompson-Nicola,Regional district (RD),British Columbia,F,132663,128471,T,3.3,62157,55504,44449.42,3,48,6
2475,La Rivi�re-du-Nord,Municipalit� r�gionale de comt� (MRC),Quebec,F,128170,115165,F,11.3,58580,55009,451.02,284.2,49,14
3538,Lambton,County (CTY),Ontario,F,126638,126199,F,0.3,59777,54481,3002.25,42.2,50,20
2460,L'Assomption,Municipalit� r�gionale de comt� (MRC),Quebec,F,124759,119840,F,4.1,50828,49768,255.65,488,51,15
2457,La Vall�e-du-Richelieu,Municipalit� r�gionale de comt� (MRC),Quebec,F,124420,116773,F,6.5,49971,48748,588.6,211.4,52,16
4819,Division No. 19,Census division (CDR),Alberta,F,120380,109712,F,9.7,49338,44549,20516.9,5.9,53,5
2456,Le Haut-Richelieu,Municipalit� r�gionale de comt� (MRC),Quebec,F,117443,114344,F,2.7,52461,50061,936.02,125.5,54,17
3557,Algoma,District (DIS),Ontario,T,114094,115870,F,-1.5,60324,51071,48814.88,2.3,55,21
3501,"Stormont, Dundas and Glengarry",United counties (UC),Ontario,F,113429,111164,F,2,50455,47829,3309.87,34.3,56,22
3532,Oxford,County (CTY),Ontario,F,110862,105719,F,4.9,45350,44266,2039.61,54.4,57,23
3528,Haldimand-Norfolk,Census division (CDR),Ontario,T,109787,109118,F,0.6,48249,43559,2894.76,37.9,58,24
2449,Drummond,Municipalit� r�gionale de comt� (MRC),Quebec,F,103397,98681,F,4.8,47581,45334,1600.26,64.6,59,18
3547,Renfrew,County (CTY),Ontario,F,102394,101326,F,1.1,49860,42779,7448.57,13.7,60,25
3536,Chatham-Kent,Census division (CDR),Ontario,F,102042,104075,F,-2,46287,43174,2470.52,41.3,61,26
3507,Leeds and Grenville,United counties (UC),Ontario,F,100546,99306,F,1.2,48226,42749,3382.89,29.7,62,27
1310,York,County (CT),New Brunswick,F,99411,97238,F,2.2,46855,42009,8131.77,12.2,63,2
1217,Cape Breton,County (CTY),Nova Scotia,F,98722,101619,F,-2.9,47205,43081,2467.74,40,64,2
2472,Deux-Montagnes,Municipalit� r�gionale de comt� (MRC),Quebec,T,98203,95670,F,2.6,40728,39748,243.42,403.4,65,19
4810,Division No. 10,Census division (CDR),Alberta,F,97449,93039,F,4.7,42796,38242,20466.09,4.8,66,6
5953,Fraser-Fort George,Regional district (RD),British Columbia,F,94506,91879,F,2.9,41666,38600,50676.1,1.9,67,7
3542,Grey,County (CTY),Ontario,F,93830,92568,F,1.4,47560,39563,4513.5,20.8,68,28
3502,Prescott and Russell,United counties (UC),Ontario,F,89333,85381,F,4.6,36783,35389,2004.47,44.6,69,29
3534,Elgin,County (CTY),Ontario,F,88978,87461,F,1.7,36613,34995,1881.03,47.3,70,30
2447,La Haute-Yamaska,Municipalit� r�gionale de comt� (MRC),Quebec,F,88306,85042,F,3.8,40364,38826,636.81,138.7,71,20
2454,Les Maskoutains,Municipalit� r�gionale de comt� (MRC),Quebec,F,87099,84248,F,3.4,40244,38016,1302.9,66.9,72,21
4715,Division No. 15,Census division (CDR),Saskatchewan,F,85908,83725,F,2.6,38751,32232,19613.27,4.4,73,3
3514,Northumberland,County (CTY),Ontario,F,85598,82126,F,4.2,39032,35686,1905.15,44.9,74,31
5937,North Okanagan,Regional district (RD),British Columbia,F,84354,81237,F,3.8,39970,35875,7502.6,11.2,75,8
5919,Cowichan Valley,Regional district (RD),British Columbia,F,83739,80332,F,4.2,37919,35272,3474.52,24.1,76,9
3548,Nipissing,District (DIS),Ontario,F,83150,84736,F,-1.9,41200,36050,17103.78,4.9,77,32
5907,Okanagan-Similkameen,Regional district (RD),British Columbia,F,83022,80742,F,2.8,42894,37673,10411.68,8,78,10
4801,Division No.  1,Census division (CDR),Alberta,F,82627,78694,F,5,35331,33230,20558.81,4,79,7
1102,Queens,County (CTY),Prince Edward Island,F,82017,77866,F,5.3,39399,33975,2020.48,40.6,80,1
3556,Cochrane,District (DIS),Ontario,F,79682,81122,F,-1.8,37974,34012,141268.51,0.6,81,33
1315,Gloucester,County (CT),New Brunswick,F,78444,79943,T,-1.9,38789,34701,4743.67,16.5,82,3
2459,Marguerite-D'Youville,Municipalit� r�gionale de comt� (MRC),Quebec,F,77550,74416,F,4.2,30532,29942,346.04,224.1,83,22
3531,Perth,County (CTY),Ontario,F,76796,75112,F,2.2,31747,30713,2218.52,34.6,84,34
4602,Division No.  2,Census division (CDR),Manitoba,F,75571,66045,T,14.4,26604,25466,4429.61,17.1,85,2
3516,Kawartha Lakes,Census division (CDR),Ontario,F,75423,73219,T,3,38444,31106,3084.38,24.5,86,35
1301,Saint John,County (CT),New Brunswick,F,74020,76550,F,-3.3,36825,32852,1463.7,50.6,87,4
4816,Division No. 16,Census division (CDR),Alberta,F,73988,67516,F,9.6,31535,26338,95348.4,0.8,88,8
2439,Arthabaska,Municipalit� r�gionale de comt� (MRC),Quebec,F,72014,69237,F,4,33483,31447,1890.18,38.1,89,23
4813,Division No. 13,Census division (CDR),Alberta,F,71016,68919,F,3,34788,27840,24385.17,2.9,90,9
1305,Kings,County (CT),New Brunswick,F,68941,69665,F,-1,29570,27027,3484.22,19.8,91,5
4607,Division No.  7,Census division (CDR),Manitoba,F,68746,65084,T,5.6,29333,27632,6309.28,10.9,92,3
3509,Lanark,County (CTY),Ontario,F,68698,65667,F,4.6,32695,28580,3035.64,22.6,93,36
3541,Bruce,County (CTY),Ontario,F,68147,66102,F,3.1,41183,28866,4090.2,16.7,94,37
4812,Division No. 12,Census division (CDR),Alberta,T,67120,63427,F,5.8,30281,24500,31981.64,2.1,95,10
2461,Joliette,Municipalit� r�gionale de comt� (MRC),Quebec,F,66550,63551,F,4.7,30969,29703,418.12,159.2,96,24
5926,Comox Valley,Regional district (RD),British Columbia,F,66527,63538,F,4.7,32076,29573,1699.9,39.1,97,11
3560,Kenora,District (DIS),Ontario,T,65533,57607,F,13.8,31191,23931,407268.65,0.2,98,38
2470,Beauharnois-Salaberry,Municipalit� r�gionale de comt� (MRC),Quebec,F,64320,61950,F,3.8,30151,28865,471.26,136.5,99,25
5955,Peace River,Regional district (RD),British Columbia,F,62942,60082,F,4.8,28746,24264,117387.55,0.5,100,12
5941,Cariboo,Regional district (RD),British Columbia,F,61988,62392,F,-0.6,31680,26699,80609.75,0.8,101,13
3522,Dufferin,County (CTY),Ontario,F,61735,56881,F,8.5,22889,21918,1486.44,41.5,102,39
4817,Division No. 17,Census division (CDR),Alberta,F,61590,61504,F,0.1,23895,19747,192152.54,0.3,103,11
1207,Kings,County (CTY),Nova Scotia,F,60600,60589,F,0,29187,25951,2126.71,28.5,104,3
3544,Muskoka,District municipality (DM),Ontario,T,60599,58017,T,4.5,46207,25431,3940.48,15.4,105,40
5901,East Kootenay,Regional district (RD),British Columbia,F,60439,56685,F,6.6,34197,25863,27541.84,2.2,106,14
5903,Central Kootenay,Regional district (RD),British Columbia,F,59517,58441,F,1.8,30726,27016,22094.94,2.7,107,15
3540,Huron,County (CTY),Ontario,F,59297,59100,F,0.3,28369,24194,3399.27,17.4,108,41
2446,Brome-Missisquoi,Municipalit� r�gionale de comt� (MRC),Quebec,F,58314,55621,F,4.8,31470,25865,1652.08,35.3,109,26
2410,Rimouski-Neigette,Municipalit� r�gionale de comt� (MRC),Quebec,F,56650,55095,F,2.8,28811,26113,2715.17,20.9,110,27
4805,Division No.  5,Census division (CDR),Alberta,F,55708,53263,F,4.6,22044,20020,16795.05,3.3,111,12
