Geography3 5,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"St. John's, Newfoundland and Labrador [10001] 7",0,0,0,0,0,0,1997.92,1869.66,1723.96,1753.73,1805.76,2037.31,2108.42,2054.67,2034.65,1949.48,1915.48,2041.78,2154.8,2206.77
Prince Edward Island [11] 8,1694.68,1790.51,1774.3,1854.74,1800.37,1785.33,1624.31,1780.96,2033.21,1830.99,1767.21,1791.45,1892.44,1647.69,1768.01,1714.34,1458.14,1307.77,1297.01,1339.66
"Halifax, Nova Scotia [12205]",0,0,0,0,0,0,2084.67,1965.5,2188.66,2614.05,2579.08,2311.4,2389.43,2408.45,2222.3,2014.7,1941.39,1795.04,1754.69,1792.11
"Moncton, New Brunswick [13305] 9 10",..,..,..,..,..,..,..,..,1882.7,2229.84,2353.65,2203.33,2289.15,2239.62,2084.49,1803.23,1748.07,1790.46,1958.29,1847.47
"Saint John, New Brunswick [13310] 5 7 10 11",0,0,0,0,0,0,2134.74,2024.03,2177.18,2170.25,2118.56,2120.99,2010.82,1964.43,2095.43,2040.93,1957.89,1836.47,1726.87,1838.57
"Saguenay, Quebec [24408] 12 13",0,0,0,0,0,0,1279.29,1115.81,1326.09,1445.73,1427.36,1491.53,1586.66,1509.76,1568.9,1456.12,1425.83,1414.45,1454.93,1441.03
"Québec, Quebec [24421]",0,0,0,0,0,0,1202.16,1237.47,1279.49,296.94,319.97,1218.6,1189.35,1302.92,1451.93,1338.58,1200.26,1205.36,1273.97,1436.28
"Sherbrooke, Quebec [24433] 14 15",0,0,0,0,0,0,1728.25,2070.23,2009.55,1889.35,1548.99,2690.87,2269,2025.1,2295.29,2168.85,2065.57,2176.92,2204.02,2175.12
"Trois-Rivières, Quebec [24442]",0,0,0,0,0,0,1952.15,2119.31,1963.69,2053.3,2129.72,2010.45,2091.88,2018.99,1860.34,1888.42,1682.37,1605.43,1477.98,1502.57
"Montréal, Quebec [24462] 16 17 18 19",0,0,0,0,0,0,1735.34,1717.65,1744.42,1713.31,1610.72,1619.13,1561.45,1532.93,1562.07,1468.65,1377.61,1405.23,1405.66,1395.11
"Ottawa-Gatineau, Quebec part [24505] 20 21",0,0,0,0,0,0,2005.88,2026.96,2293.14,2312.33,2379.59,2391.78,2266.37,2274.73,2367.32,2133.16,2351.15,2177.07,1999.03,1833.48
"Ottawa-Gatineau, Ontario/Quebec [24505/35505] 20 21 22 23",0,0,0,0,0,0,1750.38,1736.14,1830.3,1845.3,1892.67,1802.27,1738.08,1578.25,1608.9,1464.59,1455.39,1406.51,1372.29,1318.77
"Ottawa-Gatineau, Ontario part [35505] 20 22 23",0,0,0,0,0,0,1669.39,1643.34,1681.69,1694.38,1735.33,1610.68,1564.69,1348.95,1359.84,1246.2,1163.91,1156.89,1170.45,1154.81
"Kingston, Ontario [35521] 9",..,..,..,0,0,0,1883.28,1891.18,1880.92,1920.6,1896.34,1876.81,1766.5,1780.18,1952.9,1842.36,1678.84,1613.62,1665.72,1799.69
"Peterborough, Ontario [35529] 9",..,..,..,..,..,..,..,..,3279.34,2927.17,2721.82,2504.59,2392.35,2454.7,2449.08,2229.96,2202.49,2320.48,2431.73,2384.12
"Toronto, Ontario [35535] 24",0,0,0,0,0,0,1803.71,1872.37,1815.1,1741.75,1725.59,1614.04,1531.58,1477.18,1413.25,1335.54,1253.93,1241.86,1224.7,1192.74
"Hamilton, Ontario [35537] 24",0,0,0,0,0,0,1530.53,1504.26,1408.06,1450.54,1451.07,1491.64,1512.87,1450.71,1440.84,1340.6,1336.38,1286.45,1268.32,1366.34
"St.Catharines-Niagara, Ontario [35539]",0,0,0,0,0,0,1672.16,1652.33,1677.86,1678.49,1717.98,1707.41,1711.38,1553.56,1602.26,1508.23,1361.6,1284.81,1320.16,1444
