Geography,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"St. John's, Newfoundland and Labrador [10001] 7",7840.62,6596.12,7294.28,7030,7428.25,6903.21,7163.52,6955.84,7131.69,7935.51,7597.73,8084.74,8479.56,7867.74,7611.67,7307.64,6451.93,6525.37,6333.97,5751.42
Prince Edward Island [11] 8,7110.2,7933.47,7657.2,7866.06,8655.28,9523.32,8974.1,8312.63,7513.15,6813.05,6934.08,7132.49,7140.84,7289.74,7360.08,6541.41,5303.77,4677.4,4928.68,4620.41
"Halifax, Nova Scotia [12205]",10328.9,10370.94,9051.1,9611.07,9395.51,9754.53,10371.9,9566.1,9229.97,8598.41,7941.02,7884.31,8142.62,7299.21,6596.21,5910.15,5912.72,5385.35,5205.48,5557.99
"Moncton, New Brunswick [13305] 9 10",..,..,..,..,..,..,..,..,8646.6,7516.3,6866.4,6593.89,6609.92,6767.04,7740.44,6659.25,6265.06,7366.87,6788.2,7786.08
"Saint John, New Brunswick [13310] 5 7 10 11",8689.34,7972.84,7335.47,7185.43,8149.06,8221.61,7657.26,6975.85,7170.61,7614.21,7521.62,7244.58,7014.68,6250.72,6214.52,5620.77,5215.1,5132.38,4812.21,4954.71
"Saguenay, Quebec [24408] 12 13",7112.78,6100.02,5995.39,5332.01,4695.34,4575.34,4537.2,4100.59,4451.64,4806.11,5535.14,5809.83,5881.47,5531.85,5403.54,4930.64,4592.66,4487.05,4599.82,4598.87
"Québec, Quebec [24421]",5873.95,5557.06,5797.79,5466.72,5311.3,5294.22,5041.86,5017.33,5288.64,4987.2,4906.15,4629.56,4421.95,4129.54,4097.56,3924.01,3628.97,3549.56,3640.46,3800.61
"Sherbrooke, Quebec [24433] 14 15",7058.23,6641.82,6755.96,7013.2,7231.86,6858.16,6131.86,5548.36,5875.06,5786.43,6059.36,5984.79,5564.28,5125.17,5383.17,4972.05,4674.92,4316.06,4372.45,4343.14
"Trois-Rivières, Quebec [24442]",6750.01,6028.83,5641.18,5284.34,5488.41,5893.33,5514.2,5644.86,5601.58,5460.42,5819.75,6009.22,5880.26,5478.51,5421.17,5178.86,4690.44,4607.97,4076.81,4399.13
"Montréal, Quebec [24462] 16 17 18 19",8031.02,7417.2,7469.15,7016.46,6734.49,6723.32,6483.18,6501.71,6529.55,6170.03,6201.21,6076.36,5644.45,5399.03,5172.26,4660.36,4279.78,4185.72,3993.31,3964.76
