Reference period,Business gross fixed capital formation,Residential structures,"Non-residential structures, machinery and equipment",Non-residential structures,Machinery and equipment,Intellectual property products,Year,Corporate Tax Rate,Machinery and Equipment Investment,Intellectual Property Investment,Building Investment
Q1 2000,212829,67962,117067,60702,56554,23888,2000,0.2912,0.26572506566304405,0.1122403431863139,0.28521489082784773
Q2 2000,214884,68434,116805,59038,57352,25820,2000,0.2912,0.2668974888777201,0.12015785260884942,0.27474358258409187
Q3 2000,217298,71454,115836,57418,57563,26906,2000,0.2912,0.2649034965807324,0.12382074386326611,0.26423621018140986
Q4 2000,217890,72796,114254,57940,55979,28230,2000,0.2912,0.2569140391940888,0.1295607875533526,0.26591399329937127
Q1 2001,222632,74929,115335,60415,55347,30010,2001,0.2812,0.24860307592798878,0.13479643537317187,0.27136709906931616
Q2 2001,225549,76636,116572,61496,55681,30140,2001,0.2812,0.2468687513577981,0.13362949957658868,0.2726502888507597
Q3 2001,227673,78618,118255,62167,56617,28786,2001,0.2812,0.24867683036635876,0.12643572140745718,0.2730538974757657
Q4 2001,218336,82174,108841,61081,49739,27254,2001,0.2812,0.2278094313351898,0.12482595632419757,0.2797568884654844
Q1 2002,219479,86838,106969,59133,49425,26739,2002,0.2612,0.2251923874265875,0.12182942331612592,0.269424409624611
Q2 2002,222946,88568,108984,58404,51469,26516,2002,0.2612,0.23085859356077257,0.11893462991038188,0.26196478070923
Q3 2002,227024,90201,111097,58305,53223,26861,2002,0.2612,0.23443776869405877,0.11831788709563747,0.25682306716470504
Q4 2002,228077,92173,109985,57932,52560,27497,2002,0.2612,0.23044848888752484,0.12056016169977683,0.2540019379420108
Q1 2003,229970,91317,111578,59657,52763,28309,2003,0.2412,0.2294342740357438,0.12309866504326651,0.25941209723007347
Q2 2003,231746,89913,114227,61091,54004,28371,2003,0.2412,0.23303099082616313,0.12242282498942808,0.26361188542628566
Q3 2003,240130,93923,118519,62482,56643,28610,2003,0.2412,0.23588472910506808,0.11914379710989881,0.26020072460750426
Q4 2003,246224,95579,122547,64243,58819,28902,2003,0.2412,0.23888410552992398,0.11738092143739035,0.2609128273442069
Q1 2004,252284,98641,124752,64907,60227,29841,2004,0.2212,0.23872699021737406,0.11828336319386089,0.25727751264448
Q2 2004,256753,100951,126375,66207,60682,30490,2004,0.2212,0.2363438791367579,0.11875226384891316,0.2578626150424727
Q3 2004,260680,101771,128564,67151,61882,31322,2004,0.2212,0.23738683443302133,0.12015497928494706,0.25759935553168634
Q4 2004,264682,103408,130626,67254,63626,31646,2004,0.2212,0.24038657710006725,0.11956234273581128,0.2540935915551492
Q1 2005,270582,102694,135812,69501,66487,32690,2005,0.2212,0.24571848829559986,0.12081365353201617,0.25685744062797966
Q2 2005,276726,105241,138480,70959,67719,33668,2005,0.2212,0.24471498883372,0.12166547415132659,0.2564233212636326
