Year,Quebec,Ontario,Alberta,BC,Canada
1990-91,0.177799449,0.101412568,0.040904322,0.052490644,0.413887815
1991-92,0.203569328,0.134797223,0.056804522,0.073391983,0.458011024
1992-93,0.227270085,0.166513077,0.084046516,0.085038162,0.496255803
1993-94,0.245554282,0.21413295,0.088241502,0.0887605,0.524858204
1994-95,0.261250243,0.228611169,0.079412298,0.089868212,0.538123744
1995-96,0.273320796,0.248648913,0.070382992,0.089160539,0.553210445
1996-97,0.284033856,0.261258578,0.051574659,0.088214643,0.554051792
1997-98,0.377495239,0.258290451,0.033143567,0.086604801,0.528263949
1998-99,0.366621395,0.251446943,0.025761186,0.149990075,0.505127387
1999-00,0.347310894,0.275466702,0.010824239,0.15331075,0.468578462
2000-01,0.329006654,0.255391821,-0.021141129,0.151532411,0.430426318
2001-02,0.340208,0.250132525,-0.024395081,0.161145696,0.419387409
2002-03,0.340699639,0.242921423,-0.032009874,0.172967211,0.403436168
2003-04,0.341698685,0.251392186,-0.048210833,0.176402658,0.389977543
2004-05,0.340311923,0.248214408,-0.077742998,0.161654671,0.377577702
2005-06,0.354504325,0.260583618,-0.107896755,0.147091871,0.357323676
2006-07,0.416034622,0.25754931,-0.133073681,0.127454395,0.340406274
2007-08,0.407415637,0.260274041,-0.134294385,0.120594375,0.328103273
2008-09,0.430308859,0.281835148,-0.119550174,0.131519535,0.330481855
2009-10,0.490080911,0.332090212,-0.109064703,0.151263823,0.378516637
2010-11,0.504980619,0.35743791,-0.082359295,0.160076438,0.389544506
2011-12,0.521716407,0.383315706,-0.06785796,0.17283574,0.398945225
2012-13,0.554359139,0.404814324,-0.049715054,0.179426832,0.408820542
2013-14,0.556611224,0.422847937,-0.04240876,0.178622983,0.401797718
2014-15,0.554048087,0.438644004,-0.040006129,0.171670328,0.393114534
2015-16,0.546662412,0.442399488,-0.012470923,0.170169882,0.393603966
