date_issued,author,title,description,link,page,issue
1972/07/01,Benedict Kiely,Maiden's Leap,,https://newyorker.com/magazine/1972/07/01/maidens-leap,0,"July 1, 1972 Issue"
1972/06/24,Linda Arking,Piombino's An Hour From Livorno,,https://newyorker.com/magazine/1972/06/24/piombinos-an-hour-from-livorno,0,"June 24, 1972 Issue"
1972/06/17,Eyre De Lanux,Putu,,https://newyorker.com/magazine/1972/06/17/putu,0,"June 17, 1972 Issue"
1972/06/10,John Updike,Commercial,,https://newyorker.com/magazine/1972/06/10/commercial-2,0,"June 10, 1972 Issue"
1972/06/03,Donald Barthelme,The Temptation of St. Anthony,,https://newyorker.com/magazine/1972/06/03/the-temptation-of-st-anthony,0,"June 3, 1972 Issue"
1972/06/03,Alexander Frater,The Magistrate,,https://newyorker.com/magazine/1972/06/03/the-magistrate,0,"June 3, 1972 Issue"
1972/05/27,Ted Walker,Discobolus,,https://newyorker.com/magazine/1972/05/27/discobolus,0,"May 27, 1972 Issue"
1972/05/20,Sylvia Townsend Warner,The Listening Woman,,https://newyorker.com/magazine/1972/05/20/the-listening-woman,0,"May 20, 1972 Issue"
1972/05/13,Mark Halliday,Horse Sense On The Gelid Planet,,https://newyorker.com/magazine/1972/05/13/horse-sense-on-the-gelid-planet,0,"May 13, 1972 Issue"
1972/05/06,Morris Lurie,Running Nicely,,https://newyorker.com/magazine/1972/05/06/running-nicely,0,"May 6, 1972 Issue"
1972/05/06,Isaac Bashevis Singer,Escape From Civilization,,https://newyorker.com/magazine/1972/05/06/escape-from-civilization,1,"May 6, 1972 Issue"
1972/04/29,Ted Walker,As May Be,,https://newyorker.com/magazine/1972/04/29/as-may-be,1,"April 29, 1972 Issue"
1972/04/29,Henry Bromell,Photographs,,https://newyorker.com/magazine/1972/04/29/photographs,1,"April 29, 1972 Issue"
1972/04/22,Donald Barthelme,A City Of Churches,,https://newyorker.com/magazine/1972/04/22/a-city-of-churches,1,"April 22, 1972 Issue"
1972/04/22,Penelope Gilliatt,Staying In Bed,,https://newyorker.com/magazine/1972/04/22/staying-in-bed,1,"April 22, 1972 Issue"
1972/04/15,Isaac Bashevis Singer,A Crown of Feathers,,https://newyorker.com/magazine/1972/04/15/a-crown-of-feathers,1,"April 15, 1972 Issue"
1972/04/15,Sylvia Townsend Warner,The Inside-Out,,https://newyorker.com/magazine/1972/04/15/the-inside-out,1,"April 15, 1972 Issue"
1972/04/15,Csikszentmihalyi Mihaly,A Sliver At Night,,https://newyorker.com/magazine/1972/04/15/a-sliver-at-night,1,"April 15, 1972 Issue"
1972/04/08,S. J. Perelman,"Meanwhile, Back At The Crunch...",,https://newyorker.com/magazine/1972/04/08/meanwhile-back-at-the-crunch,1,"April 8, 1972 Issue"
1972/04/08,Alexander Frater,The Scribe,,https://newyorker.com/magazine/1972/04/08/the-scribe,1,"April 8, 1972 Issue"
1972/04/01,Donald Barthelme,Daumier,,https://newyorker.com/magazine/1972/04/01/daumier,2,"April 1, 1972 Issue"
1972/04/01,M. F. K. Fisher,A Kitchen Allegory,,https://newyorker.com/magazine/1972/04/01/a-kitchen-allegory,2,"April 1, 1972 Issue"
1972/03/25,Julie Hayden,In the Words Of,,https://newyorker.com/magazine/1972/03/25/in-the-words-of,2,"March 25, 1972 Issue"
1972/03/25,Ted Walker,The Ariel,,https://newyorker.com/magazine/1972/03/25/the-ariel,2,"March 25, 1972 Issue"
1972/03/18,M. F. K. Fisher,Moment of Wisdom,,https://newyorker.com/magazine/1972/03/18/moment-of-wisdom,2,"March 18, 1972 Issue"
1972/03/18,Maeve Brennan,The Springs of Affection,,https://newyorker.com/magazine/1972/03/18/the-springs-of-affection,2,"March 18, 1972 Issue"
1972/03/18,Garrison Keillor,Ten Stories for Mr. Richard Brautigan and Other Stories,,https://newyorker.com/magazine/1972/03/18/ten-stories-for-mr-richard-brautigan-and-other-stories,2,"March 18, 1972 Issue"
1972/03/11,Philip Hamburger,The Doorbell,,https://newyorker.com/magazine/1972/03/11/the-doorbell,2,"March 11, 1972 Issue"
1972/03/04,Arturo Vivante,The Emergency,,https://newyorker.com/magazine/1972/03/04/the-emergency,2,"March 4, 1972 Issue"
1972/03/04,Elizabeth Cullinan,Yellow Roses,,https://newyorker.com/magazine/1972/03/04/yellow-roses,2,"March 4, 1972 Issue"
1972/02/26,Noel Perrin,Before Fun City,,https://newyorker.com/magazine/1972/02/26/before-fun-city,3,"February 26, 1972 Issue"
1972/02/26,Stephen Tracy,The Potato Baron and the Line,,https://newyorker.com/magazine/1972/02/26/the-potato-baron-and-the-line,3,"February 26, 1972 Issue"
