date_issued,author,title,description,link,page,issue
2019/03/04,Jonathan Lethem,“The Starlet Apartments”,“The day’s party was under way. Or the previous night’s had never ended.”,https://newyorker.com/magazine/2019/03/04/the-starlet-apartments,0,"March 4, 2019 Issue"
2019/02/18,Leïla Slimani,“The Confession”,"“I cannot say why, but I had the painful impression that I was not the ﬁrst, on that beautiful, sun-drenched day, to press her against the ground and possess her.”",https://newyorker.com/magazine/2019/02/18/the-confession,0,"February 18 & 25, 2019 Issue"
2019/02/11,T. Coraghessan Boyle,“Asleep at the Wheel”,"“She’s smiling as he comes up to the car, and he’s smiling, too, and now he’s reaching for the door handle . . . but the door seems to be locked, and she’s fumbling for the release.”",https://newyorker.com/magazine/2019/02/11/asleep-at-the-wheel,0,"February 11, 2019 Issue"
2019/02/04,Emma Cline,“What Can You Do with a General”,"“How had it happened, the eventual neutering of his anger? He was too tired to knock things over.”",https://newyorker.com/magazine/2019/02/04/what-can-you-do-with-a-general,0,"February 4, 2019 Issue"
2019/01/28,Haruki Murakami,“Cream”,"“ ‘There’s nothing worth getting in this world that you can get easily,’ the old man had said, with unshakable conviction, like Pythagoras explaining his theorem.”",https://newyorker.com/magazine/2019/01/28/cream,0,"January 28, 2019 Issue"
2019/01/21,Salvatore Scibona,“Do Not Stop”,“He heard a whistle and saw his truck blow up and he figured he would be here at Khe Sanh awhile longer.”,https://newyorker.com/magazine/2019/01/21/do-not-stop,0,"January 21, 2019 Issue"
2019/01/14,Amos Oz,“All Rivers”,"“I’m tired of words. You strive to be accurate, and then words come along and falsify everything.”",https://newyorker.com/magazine/2019/01/14/all-rivers,0,"January 14, 2019 Issue"
2019/01/07,Taymour Soomro,“Philosophy of the Foot”,"“Listen to the foot,” the boy says. “The foot says go forward, go back, stand still. If you listen you’ll know.”",https://newyorker.com/magazine/2019/01/07/philosophy-of-the-foot,0,"January 7, 2019 Issue"
2018/12/24,Mary Gaitskill,“Acceptance Journey”,"“Somehow, somewhere inside her, love and torture had got squished together. And it wasn’t just in her.”",https://newyorker.com/magazine/2018/12/24/acceptance-journey,0,"December 24 & 31, 2018 Issue"
2018/12/17,Linn Ullmann,“Time for the Eyes to Adjust”,"“My father has four houses, two cars, five wives, one swimming pool, nine children, and one cinema.”",https://newyorker.com/magazine/2018/12/17/time-for-the-eyes-to-adjust,0,"December 17, 2018 Issue"
2018/12/10,Joy Williams,“Chaunt”,"“When the boys died and after she had buried the one who was hers, she moved to Dove.”",https://newyorker.com/magazine/2018/12/10/chaunt,1,"December 10, 2018 Issue"
2018/11/26,Garth Greenwell,“The Frog King”,"“I would get up soon but for now I kept looking at him, his face bearded and dark, smoothed out by sleep.”",https://newyorker.com/magazine/2018/11/26/the-frog-king,1,"November 26, 2018 Issue"
2018/11/19,Sam Lipsyte,“Show Recent Some Love”,"“In the olden days, as I recall, you had your charming pigs and your not so charming pigs. Mike was on the spectrum there.”",https://newyorker.com/magazine/2018/11/19/show-recent-some-love,1,"November 19, 2018 Issue"
2018/11/12,Scholastique Mukasonga,Fiction by Scholastique Mukasonga: “Cattle Praise Song”,"“Every man had something to say about the cows he’d once owned and those he would perhaps, one day, own again. ”",https://newyorker.com/magazine/2018/11/12/cattle-praise-song,1,"November 12, 2018 Issue"
2018/11/05,Tony Earley,Fiction by Tony Earley: “Backpack”,"“John began to sense the world unravelling behind him, the tightly braided strands of his life snapping free with sharp cracks.”",https://newyorker.com/magazine/2018/11/05/backpack,1,"November 5, 2018 Issue"
2018/10/29,Bryan Washington,Fiction by Bryan Washington: “Waugh”,"“Rod wasn’t their pimp, but you’d be a fool to tell him that.”",https://newyorker.com/magazine/2018/10/29/waugh,1,"October 29, 2018 Issue"
2018/10/22,Anne Carson,“Flaubert Again”,"“If she were ever really writing, the writing would pull her down into itself and erase everything but her decency. ”",https://newyorker.com/magazine/2018/10/22/flaubert-again,1,"October 22, 2018 Issue"
2018/10/15,Kevin Barry,Fiction by Kevin Barry:  “The Coast of Leitrim”,“He was tormented now by his own happiness. He could not imagine a future day without Katherine.”,https://newyorker.com/magazine/2018/10/15/the-coast-of-leitrim,1,"October 15, 2018 Issue"
2018/10/08,John L’Heureux,“The Rise and Rise of Annie Clark”,"“With a prayer of thanks to Jesus, Annie seizes on her power as a modern woman. She will take her life into her own hands and let someone else do all the work for a change.”",https://newyorker.com/magazine/2018/10/08/the-rise-and-rise-of-annie-clark,1,"October 8, 2018 Issue"
2018/10/01,Yiyun Li,“When We Were Happy We Had Other Names”,"“One morning when Jiayu opened her eyes she said to the ceiling, Grief, I don’t know who you are, so don’t pretend you know who I am.”",https://newyorker.com/magazine/2018/10/01/when-we-were-happy-we-had-other-names,1,"October 1, 2018 Issue"
