Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Acheivement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Acheivement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some Unviersity Education,Percentage of JK-Grade 3 Classes With 20 Students or Fewer,Percentage of JK-Grade 3 Classes With 23 Students or Fewer,Extract Date
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Alternative,Secondary,English,9-12,NA,NA,550 NORTHERN AVENUE,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B4J4,NA,NA,http://www.adsb.on.ca/content/schools/,http://www.adsb.on.ca, 236 ,46.53477,-84.30772,NA,100,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,N/R,NA,N/R,NA,33.88,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),019186,Anna McCrea Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,250 Mark,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3M7,705-945-7106,705-945-7221,http://annamccrea.adsb.on.ca/,http://www.adsb.on.ca, 168 ,46.50593,-84.28732,SP,100,SP,SP,15.5,NA,77%,NA,58%,NA,81%,NA,80%,NA,67%,NA,53%,NA,NA,NA,NA,NA,NA,NA,8.1,20.97,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),067679,Arthur Henderson Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,2 Henderson,Bruce Mines,Bruce Mines,Ontario,P0R1C0,705-785-3483,705-785-3220,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=13,http://www.adsb.on.ca, 101 ,46.30183,-83.7802,SP,100,NA,NA,11.9,NA,38%,NA,31%,NA,46%,NA,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,13.42,SP,0,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),043362,Ben R McMullin Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,24 Paradise,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B5K2,705-945-7108,705-945-7205,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=18,http://www.adsb.on.ca, 189 ,46.52455,-84.29804,SP,100,SP,SP,13.8,SP,44%,NA,38%,NA,44%,NA,74%,NA,65%,NA,22%,NA,NA,NA,NA,NA,NA,NA,27.9,14.95,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),054542,Blind River Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 850,19 Hanes,Blind River,Blind River,Ontario,P0R1B0,705-356-7752,705-356-0271,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=19,http://www.adsb.on.ca, 187 ,46.18454,-82.9576,SP,100,SP,SP,23,NA,50%,NA,36%,NA,50%,NA,52%,NA,65%,NA,30%,NA,NA,NA,NA,NA,NA,NA,22.36,10.7,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),490822,Boreal French Immersion Public School,Public,Not applicable,Elementary,English,1-8,NA,NA,90 Chapple,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B3N9,705-945-7149,705-945-7273,http://rosedale.adsb.on.ca/,http://www.adsb.on.ca, 392 ,46.52447,-84.31073,SP,100,NA,NA,9.4,SP,N/D,NA,N/D,NA,N/D,NA,78%,NA,73%,NA,45%,NA,NA,NA,NA,NA,NA,NA,15.65,13.35,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),285552,Central Algoma Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,220,5 Margaret,Johnson,Desbarats,Ontario,P0R1E0,705-782-6233,705-782-0260,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40,http://www.adsb.on.ca, 91 ,46.34875,-83.92525,NA,100,NA,NA,13.2,NA,67%,NA,67%,NA,67%,NA,70%,NA,57%,NA,50%,NA,NA,NA,NA,NA,NA,NA,15.11,20.08,0,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),137967,Central Algoma Intermediate School,Public,Not applicable,Elementary,English,7-8,NA,NA,Kensington Road,Huron Shores,Desbarats,Ontario,P0R1E0,705-782-4288,NA,NA,http://www.adsb.on.ca, 173 ,46.34007,-83.93689,SP,99.4,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.08,7.08,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,NA,1 Kensington,Johnson,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://cass.adsb.on.ca/,http://www.adsb.on.ca, 322 ,46.34007,-83.9369,SP,99.4,SP,NA,31.1,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89%,13,45%,-17,66%,1,15.61,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),093548,Central Avenue Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,81 Central,Elliot Lake,Elliot Lake,Ontario,P5A2G4,705-848-3951,705-848-4805,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=22,http://www.adsb.on.ca, 216 ,46.3904,-82.65883,SP,100,NA,NA,26.4,NA,32%,NA,35%,NA,32%,NA,37%,NA,44%,NA,15%,NA,NA,NA,NA,NA,NA,NA,22.07,SP,1,1,Dec-04-17
