board_id,board_name,school_id,school_name,municipality,enrolment,lat,long,first_lang_not_english,first_lang_not_french,newcomer,special_ed,gifted,grade_3_standard_reading,grade_3_standard_writing,grade_3_standard_math,grade_6_standard_reading,grade_6_standard_writing,grade_6_standard_math,low_income,parent_university_edu
B28010,Algoma DSB,19186,Anna McCrea Public School,Sault Ste. Marie,168.0,46.50593,-84.28732,,100.0,,15.5,,77.0,58.0,81.0,80.0,67.0,53.0,8.1,20.97
B28010,Algoma DSB,67679,Arthur Henderson Public School,Bruce Mines,101.0,46.301829999999995,-83.7802,,100.0,,11.9,,38.0,31.0,46.0,,,,13.42,
B28010,Algoma DSB,43362,Ben R McMullin Public School,Sault Ste. Marie,189.0,46.52455,-84.29804,,100.0,,13.8,,44.0,38.0,44.0,74.0,65.0,22.0,27.9,14.95
B28010,Algoma DSB,54542,Blind River Public School,Blind River,187.0,46.184540000000005,-82.9576,,100.0,,23.0,,50.0,36.0,50.0,52.0,65.0,30.0,22.36,10.7
B28010,Algoma DSB,490822,Boreal French Immersion Public School,Sault Ste. Marie,392.0,46.52447,-84.31073,,100.0,,9.4,,,,,78.0,73.0,45.0,15.65,13.35
B28010,Algoma DSB,285552,Central Algoma Elementary School,Johnson,91.0,46.34875,-83.92525,,100.0,,13.2,,67.0,67.0,67.0,70.0,57.0,50.0,15.11,20.08
B28010,Algoma DSB,137967,Central Algoma Intermediate School,Huron Shores,173.0,46.340070000000004,-83.93689,,99.4,,25.4,,,,,,,,13.08,7.08
B28010,Algoma DSB,93548,Central Avenue Public School,Elliot Lake,216.0,46.3904,-82.65883000000001,,100.0,,26.4,,32.0,35.0,32.0,37.0,44.0,15.0,22.07,
B28010,Algoma DSB,101214,Chapleau Public School,Chapleau,108.0,47.84496,-83.40333000000001,,99.1,,13.0,,77.0,69.0,46.0,43.0,36.0,14.0,16.64,
B28010,Algoma DSB,161276,East View Public School,Sault Ste. Marie,303.0,46.51668,-84.27996,,100.0,,13.2,,59.0,46.0,51.0,58.0,58.0,27.0,30.46,16.92
