
Toronto C,"$2,403,263,394.00"
Ottawa C,"$530,700,966.00"
York R,"$235,267,480.00"
Mississauga C,"$208,491,189.00"
Brampton C,"$166,780,412.00"
Hamilton C,"$109,008,019.00"
Waterloo R,"$108,656,718.00"
Durham R,"$75,274,676.00"
London C,"$71,513,253.00"
Windsor C,"$40,063,387.00"
Oakville T,"$32,809,550.00"
Guelph C,"$30,720,198.00"
St Catharines C,"$24,155,808.00"
Kingston C,"$24,082,938.00"
Greater Sudbury C,"$23,187,710.00"
Barrie C,"$22,017,099.00"
Burlington C,"$18,767,343.00"
Peel R,"$18,291,455.00"
Niagara Falls C,"$17,786,566.00"
Thunder Bay C,"$16,875,016.00"
Peterborough C,"$13,616,260.00"
Brantford C,"$12,002,944.00"
North Bay C,"$7,441,345.00"
Sarnia C,"$6,680,544.00"
Sault Ste Marie C,"$6,463,477.00"
Timmins C,"$5,980,180.00"
Welland C,"$5,751,729.00"
Milton T,"$5,258,410.79"
Cornwall C,"$4,509,338.50"
Niagara R,"$3,499,515.00"
Stratford C,"$3,312,358.00"
Woodstock C,"$2,610,179.00"
Orillia C,"$2,207,783.00"
Vaughan C,"$1,913,533.00"
Clarence-Rockland C,"$1,895,228.00"
Chatham-Kent M,"$1,812,728.00"
St Thomas C,"$1,533,099.00"
Kawartha Lakes C,"$1,483,375.00"
Collingwood T,"$1,332,966.00"
Owen Sound C,"$1,214,713.00"
Quinte West C,"$1,025,991.00"
Cobourg T,"$927,643.00"
Brockville C,"$834,402.00"
Orangeville T,"$815,052.00"
Thorold C,"$743,846.00"
Wasaga Beach T,"$741,607.00"
Loyalist Tp,"$726,681.00"
Bradford-West Gwillimbury T,"$724,384.00"
Elliot Lake C,"$669,566.00"
Russell Tp,"$669,224.00"
Fort Erie T,"$664,368.70"
Port Hope M,"$472,147.00"
Deseronto T,"$360,249.00"
Kenora C,"$342,772.00"
Niagara-on-the-Lake T,"$331,559.00"
Leamington M,"$308,658.00"
Port Colborne C,"$300,826.00"
Huntsville T,"$300,350.00"
Tecumseh T,"$291,126.00"
Carleton Place T,"$272,971.00"
Norfolk County,"$263,260.00"
Midland T,"$241,620.00"
Point Edward V,"$190,557.91"
Penetanguishene T,"$165,582.00"
Trent Hills M,"$151,431.00"
Essa Tp,"$130,540.00"
Bracebridge T,"$126,394.00"
New Tecumseth T,"$123,429.00"
Pelham T,"$99,889.00"
Whitchurch - Stouffville T,"$85,883.00"
Bancroft T,"$71,249.00"
Caledon T,"$54,829.00"
Clearview Tp,"$44,930.00"
Cobalt T,"$23,252.00"
Woolwich Tp,"$18,309.00"
The Blue Mountains T,"$16,782.00"
Casselman V,"$4,518.00"
Coleman Tp,"$2,500.00"
Madoc Tp,"$1,000.00"
Callander M,$895.00
