area,census_division,city,city_type,population,transit_spending
16.9/km2,Hastings,Bancroft,Town,3880,"$71,249.00"
"1,428.0/km2",Simcoe,Barrie,City,136063,"$22,017,099.00"
25.5/km2,Muskoka,Bracebridge,Town,15414,"$126,394.00"
"2,228.7/km2",Peel,Brampton,City,523906,"$166,780,412.00"
"1,345.9/km2",Brant,Brantford,City,93650,"$12,002,944.00"
"1,023.8/km2",Leeds and Grenville,Brockville,City,21870,"$834,402.00"
987.4/km2,Halton,Burlington,City,175779,"$18,767,343.00"
96.6/km2,Peel,Caledon,Town,59460,"$54,829.00"
36.5/km2,Parry Sound,Callander,Municipality,3864,$895.00
"1,176.1/km2",Lanark,Carleton Place,Town,9809,"$272,971.00"
693.0/km2,Prescott and Russell,Casselman,Village,3626,"$4,518.00"
41.4/km2,Chatham-Kent,Chatham-Kent,Municipality,103671,"$1,812,728.00"
82.3/km2,Prescott and Russell,Clarence-Rockland,City,23185,"$1,895,228.00"
542.3/km2,Timiskaming,Cobalt,Town,1133,"$23,252.00"
869.4/km2,Northumberland,Cobourg,Town,18519,"$927,643.00"
645.1/km2,Simcoe,Collingwood,Town,19241,"$1,332,966.00"
756.8/km2,"Stormont, Dundas and Glengarry",Cornwall,City,46340,"$4,509,338.50"
706.8/km2,Hastings,Deseronto,Town,1835,"$360,249.00"
15.0/km2,Algoma,Elliot Lake,City,11348,"$669,566.00"
184.7/km2,Niagara,Fort Erie,Town,29960,"$664,368.70"
50.0/km2,Sudbury,Greater Sudbury,City,160274,"$23,187,710.00"
"1,511.1/km2",Wellington,Guelph,City,121688,"$30,720,198.00"
480.6/km2,Hamilton,Hamilton,City,519949,"$109,008,019.00"
42.7/km2,Northumberland,Hamilton,Township,10702,"$109,008,019.00"
27.9/km2,Muskoka,Huntsville,Town,19056,"$300,350.00"
24.5/km2,Kawartha Lakes,Kawartha Lakes,City,73219,"$1,483,375.00"
71.3/km2,Kenora,Kenora,City,15348,"$342,772.00"
274.4/km2,Frontenac,Kingston,City,123363,"$24,082,938.00"
105.3/km2,Essex,Leamington,Municipality,28403,"$308,658.00"
913.1/km2,Middlesex,London,City,366151,"$71,513,253.00"
477.2/km2,Simcoe,Midland,Town,16572,"$241,620.00"
303.2/km2,Halton,Milton,Town,84362,"$5,258,410.79"
"2,467.6/km2",Peel,Mississauga,City,713443,"$208,491,189.00"
124.9/km2,Simcoe,New Tecumseth,Town,30234,"$123,429.00"
419.9/km2,Niagara,Niagara Falls,City,82997,"$17,786,566.00"
131.9/km2,Niagara,Niagara-on-the-Lake,Town,15400,"$331,559.00"
161.6/km2,Nipissing,North Bay,City,53651,"$7,441,345.00"
"1,395.6/km2",Halton,Oakville,Town,182520,"$32,809,550.00"
"1,851.4/km2",Dufferin,Orangeville,Town,27975,"$815,052.00"
"1,090.5/km2",Simcoe,Orillia,City,30586,"$2,207,783.00"
334.8/km2,Ottawa,Ottawa,City,883391,"$530,700,966.00"
879.3/km2,Grey,Owen Sound,City,21688,"$1,214,713.00"
135.3/km2,Niagara,Pelham,Town,16598,"$99,889.00"
350.4/km2,Simcoe,Penetanguishene,Town,9111,"$165,582.00"
"1,261.2/km2",Peterborough,Peterborough,City,78777,"$13,616,260.00"
621.0/km2,Lambton,Point Edward,Village,2034,"$190,557.91"
150.1/km2,Niagara,Port Colborne,City,18424,"$300,826.00"
60.1/km2,Northumberland,Port Hope,Municipality,16214,"$472,147.00"
88.2/km2,Hastings,Quinte West,City,43086,"$1,025,991.00"
434.3/km2,Lambton,Sarnia,City,72366,"$6,680,544.00"
"1,112.6/km2",Perth,Stratford,City,30903,"$3,312,358.00"
245.4/km2,Essex,Tecumseh,Town,23610,"$291,126.00"
226.5/km2,Niagara,Thorold,City,17931,"$743,846.00"
328.6/km2,Thunder Bay,Thunder Bay,City,108359,"$16,875,016.00"
14.0/km2,Cochrane,Timmins,City,43165,"$5,980,180.00"
"4,334.5/km2",Toronto,Toronto,City,2615060,"$2,403,263,394.00"
25.2/km2,Northumberland,Trent Hills,Municipality,12604,"$151,431.00"
"1,119.4/km2",York,Vaughan,City,288301,"$1,913,533.00"
352.6/km2,Simcoe,Wasaga Beach,Town,17537,"$741,607.00"
"1,639.9/km2",Waterloo,Waterloo,City,98780,"$108,656,718.00"
645.3/km2,Niagara,Welland,City,50631,"$5,751,729.00"
"1,483.7/km2",Essex,Windsor,City,210891,"$40,063,387.00"
835.2/km2,Oxford,Woodstock,City,37754,"$2,610,179.00"
,,York,,1110000,"$235,267,480.00"
,,Durham,,645862,"$75,274,676.00"
,,St Catharines,,133113,"$24,155,808.00"
,,Peel,,1382000,"$18,291,455.00"
,,Sault Ste Marie,,73368,"$6,463,477.00"
,,Niagara,,447888,"$3,499,515.00"
,,St Thomas,,38909,"$1,533,099.00"
,,Loyalist ,,16971,"$726,681.00"
,,Bradford-West Gwillimbury,,35325,"$724,384.00"
,,Russell ,,4464,"$669,224.00"
,,Norfolk Coun,,64044,"$263,260.00"
,,Essa ,,21083,"$130,540.00"
,,Whitchurch - Stouffville,,45837,"$85,883.00"
,,Clearview ,,14151,"$44,930.00"
,,Woolwich ,,25006,"$18,309.00"
,,The Blue Mountains,,7025,"$16,782.00"
,,Coleman ,,1475,"$2,500.00"
,,Madoc ,,1535,"$1,000.00"
